;DR 1+;DR 1-;DR 2+;DR 2-;DR 3+;DR 3-;DR 4+;DR 4-;DR 5+;DR 5-;DR 6+;DR 6-;DR 7+;DR 7-;DR 8+;DR 8-;DR 9+;DR 9-;DR 10+;DR 10-;DR 11+;DR 11-;DR 20+
CD80;0.0071833404;0.053002518;0.002700343;0.16212317;0.041591063;0.011364066;0.0016685888;1.1529146;0.0120592;0.016455373;0.17065616;0.00018341682;0.00072211784;0.011765076;1.1563569e-05;0.06452214;2.5935888e-05;0.011691754;1.6493208e-05;0.19199233;0.00014226807;0.038861584;0.0046689566
CDCA2;0.0024000998;0.010225916;0.00045650272;0.021449601;0.0018795498;0.0034245066;0.0020389832;0.0067130486;6.854504e-06;10.555356;0.014287488;1.3926788e-05;0.00021801994;0.004829552;1.6147001e-06;0.0095620705;9.754145e-07;0.03256412;4.8243186e-07;0.011337184;2.7158505e-05;0.0072861994;0.007318114
CDCA3;0.01542844;0.011553706;0.0008018272;0.04215912;0.0014757013;0.0077931625;0.00462233;0.0070755826;1.7089598e-05;8.186008;0.025934799;0.0056910696;0.00015421755;0.007237097;7.138566e-05;0.003914693;2.7895194e-07;0.18416777;1.1278407e-06;0.023080328;7.9196565e-05;0.0055746725;0.0050726067
CDH10;0.022635521;0.12922715;0.007416701;0.13580653;0.068366095;0.0095306;0.012065518;0.048085;0.026480366;0.055472583;0.21645434;0.0042521693;0.0003340726;0.036251273;1.1756714e-05;0.089825325;0.00082978816;0.00065481255;4.104889e-06;0.41456956;9.786101e-05;0.02011365;0.008985958
CDH11;0.00023201236;9.373738;0.00088465837;0.0020879263;0.00053420704;0.0010742224;0.001987468;0.023312915;0.0007863351;0.010261876;0.022031246;0.0015412073;3.7380014e-06;0.024977343;2.2270885e-06;0.027848452;1.5538482e-05;0.00081384496;3.34367e-07;0.061816566;5.410347e-05;0.0021609112;0.026719512
CDH12;0.010663302;0.28031355;0.010368417;0.12280128;0.1016062;0.003924807;0.021542253;0.038514335;0.02623204;0.04491419;0.16511105;0.0033206402;0.0005572022;0.02892992;9.055661e-06;0.084227815;0.00011542103;0.006114328;1.5145599e-06;0.3491415;1.5856724e-05;0.06574973;0.0007917565
CDH18;0.0012564121;0.025071932;0.00085705216;0.012096232;0.0094575565;0.00085132074;0.0028901414;0.003042786;2.2302072e-05;10.539593;0.030447945;0.00043941246;6.173342e-05;0.00468678;7.392616e-07;0.012563292;2.8107164e-05;0.00036147612;3.7443118e-07;0.04826746;2.0968735e-06;0.018840754;0.019799087
CDH2;0.0034653037;0.62606514;0.0071043423;0.0914676;0.14787483;0.0032084708;0.021244738;0.036209464;0.016454186;0.029550562;0.22653276;0.0011062571;0.00042205738;0.044253338;1.2476153e-05;0.11927496;0.000108831955;0.008097736;1.3348052e-06;0.38355786;4.470783e-05;0.051367667;0.0050153183
CDH20;0.00073927426;0.041440953;0.0009498981;0.0058354973;0.00424352;0.0013583244;0.002254141;0.0032661944;1.1064194e-05;11.015117;0.019300073;0.0002911873;0.00019954609;0.0025473747;1.2263605e-06;0.0075547867;1.0174995e-05;0.0006903648;3.2162436e-07;0.04118775;4.34757e-06;0.0069576493;0.015060428
CDH6;0.00020822287;0.07313762;0.00090814824;0.0030401268;0.0040521026;0.00091683376;0.0017211369;0.0014221793;7.724119e-06;12.033236;0.01212657;0.00047049922;4.439983e-05;0.001389786;9.380821e-07;0.017421314;2.9710181e-05;0.0002786281;4.301573e-07;0.024079474;1.9204133e-06;0.027739415;0.019250866
